FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_171d,1169799,POINT (16.408004311117622 48.13494641900611),Piratenspielplatz,10,"Balancieren, Hängematte, Karussell, Rutschen, Schaukeln, Spielhaus, Themenspielplatz, Wasserspiel, Wippen",Wasserspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_171e,1169800,POINT (16.41978997978831 48.132243276647536),PA Klederinger Straße,10,"Klettern, Rutschen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_171f,1169801,POINT (16.332547504233037 48.17631837360924),Grete-Salzer-Park,12,"Karussell, Klettern, Sandspielen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1720,1169802,POINT (16.402770333972192 48.2510207005176),PA An der oberen Alten Donau,21,"Klettern, Rutschen, Sandspielen, Schaukeln, Wasserspiel, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1721,1169803,POINT (16.313042434008192 48.220343019001625),Else-Federn-Park,16,"Balancieren, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1722,1169804,POINT (16.438125851200404 48.26974506136199),PA Dominik-Wölfel-Gasse,21,"Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wasserspiel, Wippen","Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1723,1169805,POINT (16.31511942920109 48.206430131489135),Rohrauerpark,15,"Balancieren, Basketball, Fußball, Hängematte, Klettern, Rutschen, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1724,1169806,POINT (16.399204820152892 48.19423346411624),Joe-Zawinul-Park,3,", Basketball, Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wippen","Ballspielkäfig, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1725,1169807,POINT (16.290389016733997 48.1587572356734),PA Schluckergasse,13,Boccia,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1726,1169808,POINT (16.290778363387524 48.159606527214834),PA Schluckergasse,13,Fußball,Ballspielplatz,
